country,fiscal_year,robust_z,severity,change_pct,rule,currently_alerting,explanation,label,note
Cameroon,2022,4.2,medium,42.0,beyond_limits,True,"Cameroon FY2022: year-over-year change of +42% is above the expected range -27% to +27% (learned from FY2010-2019, where a typical year was -4%); that is 4.2 robust sigmas from the typical year (limits sit at 3), so 1.2 beyond the +27% limit.",,
Papua New Guinea,2020,-4.1,medium,-81.0,beyond_limits,True,"Papua New Guinea FY2020: year-over-year change of -81% is below the expected range -69% to +303% (learned from FY2010-2019, where a typical year was +11%); that is 4.1 robust sigmas from the typical year (limits sit at 3), so 1.1 beyond the -69% limit.",,
Bangladesh,2020,-4.1,medium,-29.0,beyond_limits,True,"Bangladesh FY2020: year-over-year change of -29% is below the expected range -19% to +66% (learned from FY2010-2019, where a typical year was +16%); that is 4.1 robust sigmas from the typical year (limits sit at 3), so 1.1 beyond the -19% limit.",,
Mali,2023,4.0,medium,106.0,beyond_limits,True,"Mali FY2023: year-over-year change of +106% is above the expected range -49% to +67% (learned from FY2010-2019, where a typical year was -8%); that is 4.0 robust sigmas from the typical year (limits sit at 3), so 1.0 beyond the +67% limit.",,
Kosovo,2024,-4.0,medium,-69.0,beyond_limits,True,"Kosovo FY2024: year-over-year change of -69% is below the expected range -60% to +92% (learned from FY2010-2019, where a typical year was -12%); that is 4.0 robust sigmas from the typical year (limits sit at 3), so 1.0 beyond the -60% limit.",,
"Congo, Democratic Republic of",2025,4.0,medium,80.0,beyond_limits,True,"Congo, Democratic Republic of FY2025: year-over-year change of +80% is above the expected range -39% to +54% (learned from FY2010-2019, where a typical year was -3%); that is 4.0 robust sigmas from the typical year (limits sit at 3), so 1.0 beyond the +54% limit.",,
Uzbekistan,2021,4.0,medium,181.0,beyond_limits,True,"Uzbekistan FY2021: year-over-year change of +181% is above the expected range -36% to +128% (learned from FY2010-2019, where a typical year was +21%); that is 4.0 robust sigmas from the typical year (limits sit at 3), so 1.0 beyond the +128% limit.",,
Kenya,2025,-4.0,medium,-26.0,beyond_limits,True,"Kenya FY2025: year-over-year change of -26% is below the expected range -18% to +55% (learned from FY2010-2019, where a typical year was +13%); that is 4.0 robust sigmas from the typical year (limits sit at 3), so 1.0 beyond the -18% limit.",,
"Yemen, Republic of",2020,-4.0,medium,-89.0,beyond_limits,True,"Yemen, Republic of FY2020: year-over-year change of -89% is below the expected range -81% to +718% (learned from FY2010-2019, where a typical year was +25%); that is 4.0 robust sigmas from the typical year (limits sit at 3), so 1.0 beyond the -81% limit.",,
Kenya,2022,-3.9,medium,-26.0,beyond_limits,True,"Kenya FY2022: year-over-year change of -26% is below the expected range -18% to +55% (learned from FY2010-2019, where a typical year was +13%); that is 3.9 robust sigmas from the typical year (limits sit at 3), so 0.9 beyond the -18% limit.",,
