run_at,version,split,seed,data_extract,sigma_multiplier,baseline,min_baseline_points,run_length,alerts,alerts_per_year,alerts_high,alerts_labelled,alerts_unlabelled,precision_strict,precision_lenient,precision_at_10,recall_spike_x10,recall_units_x1000,recall_drop_to_zero,recall_misstate_25pct,recall_stale_repeat,note
2026-09-24 15:34,v1-frozen-baseline,holdout,2026,2026-09-16,3.0,FY2010-2019,8,8,62,8.9,11,0,62,,,,79.1,97.2,87.2,11.9,0.0,baseline measurement of the original method
2026-09-24 15:34,v1-frozen-baseline,tuning,7,2026-09-16,3.0,FY2010-2019,8,8,62,8.9,11,0,62,,,,74.4,98.2,84.5,9.9,0.0,baseline measurement of the original method
