chart,country,fiscal_year,value,center,lcl,ucl,sigma,robust_z,n_baseline,rule,severity,explanation,abs_z,incident_id
A_level,Bangladesh,2026,2028084269.0,839475072.6,0.0,2506199272.2352495,555574733.2117499,2.1394227011165707,10,sustained_shift,medium,"Bangladesh FY2026: no single year breaks a control limit, but this is part of a run of 8+ consecutive years above the historical typical disbursement of $839,475,073 - the level has shifted rather than spiked.",2.1394227011165707,
A_level,Bangladesh,2025,1995117289.0,839475072.6,0.0,2506199272.2352495,555574733.2117499,2.0800841854691448,10,sustained_shift,medium,"Bangladesh FY2025: no single year breaks a control limit, but this is part of a run of 8+ consecutive years above the historical typical disbursement of $839,475,073 - the level has shifted rather than spiked.",2.0800841854691448,
A_level,Angola,2020,10340932.95,48029266.92,0.0,103934884.79571599,18635205.958571997,-2.022426478880088,10,sustained_shift,medium,"Angola FY2020: no single year breaks a control limit, but this is part of a run of 8+ consecutive years below the historical typical disbursement of $48,029,267 - the level has shifted rather than spiked.",2.022426478880088,
A_level,Bangladesh,2023,1933435969.0,839475072.6,0.0,2506199272.2352495,555574733.2117499,1.9690616419430498,10,sustained_shift,medium,"Bangladesh FY2023: no single year breaks a control limit, but this is part of a run of 8+ consecutive years above the historical typical disbursement of $839,475,073 - the level has shifted rather than spiked.",1.9690616419430498,
A_level,Lao People's Democratic Republic,2022,83992313.09,57412168.385000005,14893084.250689976,99931252.51931003,14173028.04477001,1.875403380353032,10,sustained_shift,medium,"Lao People's Democratic Republic FY2022: no single year breaks a control limit, but this is part of a run of 8+ consecutive years above the historical typical disbursement of $57,412,168 - the level has shifted rather than spiked.",1.875403380353032,
A_level,Cambodia,2021,69337894.67,39354260.66500001,0.0,89866973.63595098,16837570.99031699,1.7807576889946353,10,sustained_shift,medium,"Cambodia FY2021: no single year breaks a control limit, but this is part of a run of 8+ consecutive years above the historical typical disbursement of $39,354,261 - the level has shifted rather than spiked.",1.7807576889946353,
A_level,Tonga,2024,22997154.94,12328193.559999999,0.0,30330700.087179992,6000835.509059997,1.777912652978426,10,sustained_shift,medium,"Tonga FY2024: no single year breaks a control limit, but this is part of a run of 8+ consecutive years above the historical typical disbursement of $12,328,194 - the level has shifted rather than spiked.",1.777912652978426,
A_level,Lesotho,2024,53194984.45,24176892.15,0.0,75661244.66647798,17161450.838825997,1.6908880590881972,10,sustained_shift,medium,"Lesotho FY2024: no single year breaks a control limit, but this is part of a run of 8+ consecutive years above the historical typical disbursement of $24,176,892 - the level has shifted rather than spiked.",1.6908880590881972,
A_level,Armenia,2025,-634432.06,16417967.305,0.0,46864897.83958,10148976.84486,-1.6802087171611069,10,beyond_limits,medium,"Armenia FY2025: disbursement of $-634,432 is below the expected range $0 to $46,864,898 (learned from FY2010-2019, where a typical year was $16,417,967); that is 1.7 robust sigmas from the typical year (limits sit at 3), so -1.3 beyond the $0 limit.",1.6802087171611069,
A_level,"Gambia, The",2020,30483964.77,17566723.665,0.0,40836137.685111,7756471.340037001,1.6653502009766183,10,sustained_shift,medium,"Gambia, The FY2020: no single year breaks a control limit, but this is part of a run of 8+ consecutive years above the historical typical disbursement of $17,566,724 - the level has shifted rather than spiked.",1.6653502009766183,
A_level,Haiti,2021,117215565.2,76046764.6,266245.96151797473,151827283.238482,25260172.879494008,1.6297909280510305,10,sustained_shift,medium,"Haiti FY2021: no single year breaks a control limit, but this is part of a run of 8+ consecutive years above the historical typical disbursement of $76,046,765 - the level has shifted rather than spiked.",1.6297909280510305,
A_level,Armenia,2026,0.0,16417967.305,0.0,46864897.83958,10148976.84486,-1.6176967940679616,10,sustained_shift,medium,"Armenia FY2026: no single year breaks a control limit, but this is part of a run of 8+ consecutive years below the historical typical disbursement of $16,417,967 - the level has shifted rather than spiked.",1.6176967940679616,
A_level,Liberia,2022,144466999.1,73586299.84,0.0,206624368.870972,44346023.010324,1.5983552627368314,10,sustained_shift,medium,"Liberia FY2022: no single year breaks a control limit, but this is part of a run of 8+ consecutive years above the historical typical disbursement of $73,586,300 - the level has shifted rather than spiked.",1.5983552627368314,
A_level,Uganda,2023,356740860.2,246890754.25,39129097.87276,454652410.62724,69253885.45908,1.586194120688103,10,sustained_shift,medium,"Uganda FY2023: no single year breaks a control limit, but this is part of a run of 8+ consecutive years above the historical typical disbursement of $246,890,754 - the level has shifted rather than spiked.",1.586194120688103,
A_level,Liberia,2023,143409189.4,73586299.84,0.0,206624368.870972,44346023.010324,1.5745017212421697,10,sustained_shift,medium,"Liberia FY2023: no single year breaks a control limit, but this is part of a run of 8+ consecutive years above the historical typical disbursement of $73,586,300 - the level has shifted rather than spiked.",1.5745017212421697,
A_level,Bangladesh,2022,1698119812.0,839475072.6,0.0,2506199272.2352495,555574733.2117499,1.5455071803503688,10,sustained_shift,medium,"Bangladesh FY2022: no single year breaks a control limit, but this is part of a run of 8+ consecutive years above the historical typical disbursement of $839,475,073 - the level has shifted rather than spiked.",1.5455071803503688,
A_level,Haiti,2020,114959858.7,76046764.6,266245.96151797473,151827283.238482,25260172.879494008,1.5404919944783642,10,sustained_shift,medium,"Haiti FY2020: no single year breaks a control limit, but this is part of a run of 8+ consecutive years above the historical typical disbursement of $76,046,765 - the level has shifted rather than spiked.",1.5404919944783642,
A_level,Sierra Leone,2020,98000185.43,60153242.055,0.0,135098761.300107,24981839.748369005,1.5149782304352077,10,sustained_shift,medium,"Sierra Leone FY2020: no single year breaks a control limit, but this is part of a run of 8+ consecutive years above the historical typical disbursement of $60,153,242 - the level has shifted rather than spiked.",1.5149782304352077,
A_level,Nepal,2023,365897638.3,244909555.25,1924736.7816500068,487894373.71835,80994939.48945,1.4937733618007003,10,sustained_shift,medium,"Nepal FY2023: no single year breaks a control limit, but this is part of a run of 8+ consecutive years above the historical typical disbursement of $244,909,555 - the level has shifted rather than spiked.",1.4937733618007003,
A_level,Burkina Faso,2022,387412961.8,279719640.15,60972648.32390982,498466631.97609013,72915663.94203006,1.4769572932315225,10,sustained_shift,medium,"Burkina Faso FY2022: no single year breaks a control limit, but this is part of a run of 8+ consecutive years above the historical typical disbursement of $279,719,640 - the level has shifted rather than spiked.",1.4769572932315225,
A_level,Zambia,2020,125500963.5,80586335.42,0.0,173912154.722324,31108606.434107997,1.4438007107497701,10,sustained_shift,medium,"Zambia FY2020: no single year breaks a control limit, but this is part of a run of 8+ consecutive years above the historical typical disbursement of $80,586,335 - the level has shifted rather than spiked.",1.4438007107497701,
