country,fiscal_year,only_in,rule,severity,robust_z,value,baseline_span,explanation
India,2026,v2-fixed,beyond_limits,medium,-3.068438682712064,-0.7442564983650933,2011-2019,"India FY2026: year-over-year change of -52% is below the expected range -52% to +79% (learned from FY2011-2019, where a typical year was -7%); that is 3.1 robust sigmas from the typical year (limits sit at 3), so 0.1 beyond the -52% limit."
Kenya,2021,v2-fixed,beyond_limits,medium,-3.721825684240102,-0.28011060419481315,2011-2019,"Kenya FY2021: year-over-year change of -24% is below the expected range -18% to +55% (learned from FY2011-2019, where a typical year was +13%); that is 3.7 robust sigmas from the typical year (limits sit at 3), so 0.7 beyond the -18% limit."
Kenya,2022,v2-fixed,beyond_limits,medium,-3.9418614286006077,-0.303667404858325,2011-2019,"Kenya FY2022: year-over-year change of -26% is below the expected range -18% to +55% (learned from FY2011-2019, where a typical year was +13%); that is 3.9 robust sigmas from the typical year (limits sit at 3), so 0.9 beyond the -18% limit."
Kenya,2025,v2-fixed,beyond_limits,medium,-3.9724984748359815,-0.3069473755430109,2011-2019,"Kenya FY2025: year-over-year change of -26% is below the expected range -18% to +55% (learned from FY2011-2019, where a typical year was +13%); that is 4.0 robust sigmas from the typical year (limits sit at 3), so 1.0 beyond the -18% limit."
Kenya,2026,v2-fixed,beyond_limits,medium,3.8866460061633124,0.5344445558575208,2011-2019,"Kenya FY2026: year-over-year change of +71% is above the expected range -18% to +55% (learned from FY2011-2019, where a typical year was +13%); that is 3.9 robust sigmas from the typical year (limits sit at 3), so 0.9 beyond the +55% limit."
Mali,2023,v2-fixed,beyond_limits,medium,4.046380941554225,0.7212980734902473,2011-2019,"Mali FY2023: year-over-year change of +106% is above the expected range -49% to +67% (learned from FY2011-2019, where a typical year was -8%); that is 4.0 robust sigmas from the typical year (limits sit at 3), so 1.0 beyond the +67% limit."
Mozambique,2025,v2-rolling,beyond_limits,medium,-3.8815882006976103,-0.43442691167060826,2015-2024,"Mozambique FY2025: year-over-year change of -35% is below the expected range -27% to +68% (learned from FY2015-2024, where a typical year was +11%); that is 3.9 robust sigmas from the typical year (limits sit at 3), so 0.9 beyond the -27% limit."
Myanmar,2022,v2-rolling,beyond_limits,medium,-4.515658784124003,-1.541122499556304,2014-2021,"Myanmar FY2022: year-over-year change of -79% is below the expected range -62% to +253% (learned from FY2014-2021, where a typical year was +15%); that is 4.5 robust sigmas from the typical year (limits sit at 3), so 1.5 beyond the -62% limit."
Myanmar,2023,v2-rolling,beyond_limits,medium,-4.878459358436025,-1.6763871838178888,2014-2021,"Myanmar FY2023: year-over-year change of -81% is below the expected range -62% to +253% (learned from FY2014-2021, where a typical year was +15%); that is 4.9 robust sigmas from the typical year (limits sit at 3), so 1.9 beyond the -62% limit. Baseline: 8 years, 1 flagged year(s) held out, 0 zero-period year(s) skipped."
Myanmar,2026,v2-rolling,beyond_limits,medium,4.034252781619867,1.705075943858754,2014-2022,"Myanmar FY2026: year-over-year change of +450% is above the expected range -66% to +266% (learned from FY2014-2022, where a typical year was +12%); that is 4.0 robust sigmas from the typical year (limits sit at 3), so 1.0 beyond the +266% limit. Baseline: 9 years, 0 flagged year(s) held out, 3 zero-period year(s) skipped."
Nepal,2026,v2-fixed,beyond_limits,medium,-3.2250260649541493,-0.8996923887259974,2011-2019,"Nepal FY2026: year-over-year change of -59% is below the expected range -56% to +197% (learned from FY2011-2019, where a typical year was +14%); that is 3.2 robust sigmas from the typical year (limits sit at 3), so 0.2 beyond the -56% limit."
Nicaragua,2025,v2-rolling,beyond_limits,medium,-4.277216057496456,-0.9215568206719748,2015-2024,"Nicaragua FY2025: year-over-year change of -60% is below the expected range -46% to +118% (learned from FY2015-2024, where a typical year was +8%); that is 4.3 robust sigmas from the typical year (limits sit at 3), so 1.3 beyond the -46% limit."
Papua New Guinea,2023,v2-fixed,beyond_limits,medium,-3.145934124493238,-1.2420454310479332,2011-2019,"Papua New Guinea FY2023: year-over-year change of -71% is below the expected range -69% to +303% (learned from FY2011-2019, where a typical year was +11%); that is 3.1 robust sigmas from the typical year (limits sit at 3), so 0.1 beyond the -69% limit."
Sri Lanka,2026,v2-fixed,beyond_limits,medium,-3.367179045947075,-0.8809426830343436,2011-2019,"Sri Lanka FY2026: year-over-year change of -59% is below the expected range -55% to +99% (learned from FY2011-2019, where a typical year was -5%); that is 3.4 robust sigmas from the typical year (limits sit at 3), so 0.4 beyond the -55% limit."
Tuvalu,2021,v2-rolling,beyond_limits,medium,-4.725194967956606,-0.9901908922041124,2013-2020,"Tuvalu FY2021: year-over-year change of -63% is below the expected range -36% to +325% (learned from FY2013-2020, where a typical year was +65%); that is 4.7 robust sigmas from the typical year (limits sit at 3), so 1.7 beyond the -36% limit."
Tuvalu,2023,v2-rolling,beyond_limits,medium,-4.68630864982485,-0.9872933090206369,2013-2022,"Tuvalu FY2023: year-over-year change of -63% is below the expected range -37% to +317% (learned from FY2013-2022, where a typical year was +63%); that is 4.7 robust sigmas from the typical year (limits sit at 3), so 1.7 beyond the -37% limit."
Tuvalu,2024,v2-rolling,beyond_limits,medium,4.3731648960735905,1.8604901541784726,2013-2022,"Tuvalu FY2024: year-over-year change of +543% is above the expected range -37% to +317% (learned from FY2013-2022, where a typical year was +63%); that is 4.4 robust sigmas from the typical year (limits sit at 3), so 1.4 beyond the +317% limit. Baseline: 10 years, 1 flagged year(s) held out, 0 zero-period year(s) skipped."
