financier,country,first_fy,last_fy,n_years,n_gap_years,gap_years
IDA,Mali,2010,2026,17,0,
IDA,Mauritania,2010,2026,17,0,
IBRD,Mauritius,2010,2026,17,0,
IDA,Mekong,2012,2020,9,0,
IBRD,Mexico,2010,2026,17,0,
IDA,"Micronesia, Federated States of",2014,2026,13,0,
IDA,"Mid East,NorthAfrica, Afghan, Pakistan",2026,2026,1,0,
IDA,Middle East and North Africa,2022,2025,4,0,
IBRD,Moldova,2010,2026,17,0,
IDA,Moldova,2010,2026,17,0,
IBRD,Mongolia,2020,2026,7,0,
IDA,Mongolia,2010,2026,17,0,
IBRD,Montenegro,2010,2026,17,0,
IDA,Montenegro,2010,2026,17,0,
IBRD,Morocco,2010,2026,17,0,
IDA,Morocco,2010,2025,16,0,
IBRD,Mozambique,2010,2015,6,0,
IDA,Mozambique,2010,2026,17,0,
IDA,Myanmar,2013,2026,14,0,
IDA,Nepal,2010,2026,17,0,
IDA,Nicaragua,2010,2026,17,0,
IDA,Niger,2010,2026,17,0,
IBRD,Nigeria,2010,2026,17,0,
IDA,Nigeria,2010,2026,17,0,
IBRD,North Macedonia,2010,2026,17,0,
IDA,North Macedonia,2010,2026,17,0,
IDA,OECS Countries,2022,2026,5,0,
IDA,Pacific 1,2026,2026,1,0,
IDA,Pacific Islands,2014,2026,13,0,
IBRD,Pakistan,2010,2026,17,0,
IDA,Pakistan,2010,2026,17,0,
IBRD,Panama,2010,2026,17,0,
IBRD,Papua New Guinea,2010,2026,17,0,
IDA,Papua New Guinea,2010,2026,17,0,
IBRD,Paraguay,2010,2026,17,0,
IDA,Paraguay,2010,2026,17,0,
IBRD,Peru,2010,2026,17,0,
IBRD,Philippines,2010,2026,17,0,
IDA,Philippines,2010,2026,17,0,
IBRD,Poland,2010,2026,17,0,
IBRD,Romania,2010,2026,17,0,
IBRD,Russian Federation,2010,2023,14,0,
IDA,Rwanda,2010,2026,17,0,
IDA,Samoa,2010,2026,17,0,
IDA,Sao Tome and Principe,2010,2026,17,0,
IDA,Senegal,2010,2026,17,0,
IBRD,Serbia,2010,2026,17,0,
IDA,Serbia,2010,2026,17,0,
IBRD,Seychelles,2010,2026,17,0,
IDA,Sierra Leone,2010,2026,17,0,
IBRD,Slovak Republic,2010,2016,7,0,
IBRD,Slovenia,2010,2015,6,0,
IDA,Solomon Islands,2010,2026,17,0,
IDA,Somalia,2019,2025,7,0,
IDA,"Somalia, Federal Republic of",2026,2026,1,0,
IBRD,South Africa,2010,2026,17,0,
IDA,South Asia,2020,2026,7,0,
IDA,South East Asia,2022,2024,3,0,
IDA,South Sudan,2013,2026,14,0,
IBRD,Sri Lanka,2012,2026,15,0,
IDA,Sri Lanka,2010,2026,17,0,
IBRD,St. Kitts and Nevis,2010,2020,11,0,
IDA,St. Kitts and Nevis,2010,2026,17,0,
IBRD,St. Lucia,2010,2026,17,0,
IDA,St. Lucia,2010,2026,17,0,
IBRD,St. Vincent and the Grenadines,2010,2021,12,0,
IDA,St. Vincent and the Grenadines,2010,2026,17,0,
IBRD,Suriname,2019,2026,8,0,
IDA,Suriname,2025,2025,1,0,
IDA,"Taiwan, China",2010,2012,3,0,
IDA,Tajikistan,2010,2026,17,0,
IDA,Tanzania,2010,2026,17,0,
IBRD,Thailand,2010,2026,17,0,
