run_at,version,method,split,seed,code_commit,code_config_hash,baseline,window_years,policy,lifecycle,sigma_multiplier,min_baseline_points,alerts,alerts_high,shift_alerts,recurring_countries,incidents,persistent_incidents,lifecycle_incidents,countries_monitored,observations_monitored,countries_excluded,dormant_observations,recall_spike_x10,recall_units_x1000,recall_drop_to_zero,recall_misstate_25pct,recall_stale_repeat,recall_feed_stops,e2e_spike_x10,e2e_units_x1000,e2e_drop_to_zero,e2e_misstate_25pct,e2e_stale_repeat,e2e_feed_stops,collateral_spike_x10,collateral_units_x1000,collateral_drop_to_zero,collateral_misstate_25pct,collateral_stale_repeat,collateral_feed_stops,feed_silent_end_pct,feed_surfaced_end_pct,note
2026-09-24 18:02,p02-v1,v1.1-reference,holdout,2026,d2cae27-dirty,faae709436b4,fixed,,v1.1,False,3.0,8,62,11,7,7,39,4,0,82,560,59,0,79.1,97.2,87.2,11.9,100.0,85.2,57.0,70.5,62.5,8.2,75.8,58.8,16.8,22.6,18.6,2.2,11.8,4.4,75.0,2.6,"rolling 10y, confirm policy, lifecycle; holdout"
2026-09-24 18:02,p02-v1,v2-fixed,holdout,2026,d2cae27-dirty,faae709436b4,fixed,,confirm,True,3.0,8,53,11,0,6,36,3,17,74,495,67,157,81.2,98.2,89.8,10.5,100.0,87.3,55.8,67.8,60.5,6.8,72.2,56.0,16.8,21.0,18.2,2.2,13.2,0.0,0.0,94.8,"rolling 10y, confirm policy, lifecycle; holdout"
2026-09-24 18:02,p02-v1,v2-rolling,holdout,2026,d2cae27-dirty,faae709436b4,rolling,10.0,confirm,True,3.0,8,61,16,0,7,42,4,17,84,533,57,157,80.5,99.3,94.8,12.7,100.0,89.5,58.2,74.0,68.2,9.0,77.0,62.2,18.8,24.0,21.4,2.2,14.5,0.0,0.0,94.8,"rolling 10y, confirm policy, lifecycle; holdout"
2026-09-24 18:02,p02-v1,v2-rolling-naive,holdout,2026,d2cae27-dirty,faae709436b4,rolling,10.0,include_all,False,3.0,8,54,11,0,2,44,0,0,92,586,49,0,77.6,99.1,92.0,12.3,100.0,86.4,60.0,77.5,69.2,9.2,80.8,64.0,17.2,24.0,21.0,2.0,13.2,0.0,86.1,0.0,"rolling 10y, confirm policy, lifecycle; holdout"
2026-09-24 18:05,p02-v1,v1.1-reference,tuning,7,d2cae27-dirty,faae709436b4,fixed,,v1.1,False,3.0,8,62,11,7,7,39,4,0,82,560,59,0,74.4,98.2,84.5,9.9,100.0,86.2,50.8,68.0,61.8,7.0,72.2,60.0,15.6,20.9,18.8,1.2,12.8,3.1,75.3,2.0,"rolling 10y, confirm policy, lifecycle; tuning"
2026-09-24 18:05,p02-v1,v2-fixed,tuning,7,d2cae27-dirty,faae709436b4,fixed,,confirm,True,3.0,8,53,11,0,6,36,3,17,74,495,67,157,76.1,98.9,88.3,10.4,100.0,87.8,49.8,66.2,60.8,7.0,69.0,58.0,15.6,20.5,18.5,1.2,14.1,0.0,0.0,93.9,"rolling 10y, confirm policy, lifecycle; tuning"
2026-09-24 18:05,p02-v1,v2-rolling,tuning,7,d2cae27-dirty,faae709436b4,rolling,10,confirm,True,3.0,8,61,16,0,7,42,4,17,84,533,57,157,79.4,99.6,91.1,12.4,100.0,92.1,55.2,71.5,66.0,9.0,73.5,65.2,19.0,25.1,21.5,2.3,15.2,0.0,0.0,93.9,"rolling 10y, confirm policy, lifecycle; tuning"
2026-09-24 18:05,p02-v1,v2-rolling-naive,tuning,7,d2cae27-dirty,faae709436b4,rolling,10,include_all,False,3.0,8,54,11,0,2,44,0,0,92,586,49,0,77.0,99.6,88.0,9.8,100.0,88.4,56.5,74.2,66.8,7.2,76.8,67.0,16.6,23.9,19.6,2.1,14.2,0.0,85.7,0.0,"rolling 10y, confirm policy, lifecycle; tuning"
